tool,repository,success,timeout,duration_sec,token_total,token_method,failure_reason,log_path,result_path,from_rerun
claude_code,"acme",True,False,1187.17,22590,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/acme/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/acme/result.json",False
claude_code,"adaptix",True,False,202.21,21702,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/adaptix/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/adaptix/result.json",False
claude_code,"aiogram_dialog",True,False,136.1,21631,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/aiogram_dialog/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/aiogram_dialog/result.json",False
claude_code,"ajenti",False,False,538.51,22939,usage_max,"phase2_guilty","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/ajenti/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/ajenti/result.json",False
claude_code,"androidviewclient",True,False,252.04,21786,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/androidviewclient/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/androidviewclient/result.json",False
claude_code,"apiflask",True,False,182.77,22418,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/apiflask/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/apiflask/result.json",False
claude_code,"armi",True,False,356.34,21855,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/armi/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/armi/result.json",False
claude_code,"asdf-standard",True,False,109.53,21695,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/asdf-standard/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/asdf-standard/result.json",False
claude_code,"autograd",True,False,185.46,21782,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/autograd/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/autograd/result.json",False
claude_code,"automlbenchmark",True,False,728.09,21775,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/automlbenchmark/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/automlbenchmark/result.json",False
claude_code,"bitcart",True,False,345.43,21844,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/bitcart/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/bitcart/result.json",False
claude_code,"briefcase",True,False,220.33,21778,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/briefcase/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/briefcase/result.json",False
claude_code,"cantools",True,False,151.18,21766,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/cantools/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/cantools/result.json",False
